,VOL_Iload=1mA,VOL_Iload=10mA,VOH_Iload=1mA,VOH_Iload=10mA,VIH,VIL,IDD,IDD D,Delay=2~8uS,Delay=8~20uS
count,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,1830.0,73200.0,111630.0
mean,0.02637759562841531,0.2525377049180328,3.2219617486338796,3.001946448087432,1.9065846994535518,1.639398907103825,3.822418032786885,3.8798459016393445,0.9045423497267759,0.4960992621221212
std,0.0016501041968466968,0.006714798390101778,0.287772586275902,0.2920068986204647,0.1526388161172212,0.1517968535397478,0.15808998206795066,0.16043457682609483,1.327833617175759,0.734959513088587
min,0.022,0.242,2.765,2.523,1.65,1.35,3.452,3.503,-3.0,-2.0
25%,0.026,0.247,2.972,2.752,1.8,1.5,3.704,3.759,0.0,0.0
50%,0.027,0.251,3.2205,2.9985,1.9,1.65,3.812,3.863,1.0,0.5957446808510638
75%,0.027,0.257,3.474,3.25975,2.05,1.75,3.938,3.989,2.0,1.0
max,0.03,0.278,3.675,3.466,2.2,1.9,4.239,4.326,4.5,2.604651162790698
